,problem,f_val_opt,f_evals,comp_budget,success_crit_x,success_crit_f,6,7,8
45,Markowitz,0.00528590957576821,20,20,0.012942281287105922,3.840096681710127e-06,0.4499888499111779,0.36965343137592804,0.18035771871289408
46,Markowitz,0.00530365462405381,20,20,0.0380802524950708,2.1585144967310038e-05,0.4728693439357543,0.3275197475049292,0.19961090855931646
47,Markowitz,0.005283160056299151,20,20,0.0070952582493035155,1.0905772126514057e-06,0.44213063617150095,0.35850474175069647,0.1993646220778087
48,Markowitz,0.0052830136575282285,20,20,0.007833770188038158,9.441784417285257e-07,0.43326622981196183,0.37194340368281875,0.19479036650521958
49,Markowitz,0.005305173445108552,20,20,0.04059931207954809,2.3103966022052294e-05,0.4180157306235218,0.40619931207954807,0.17578495729693025
50,Markowitz,0.005282079777487685,40,40,0.0005694275478753674,1.0298401184778705e-08,0.4408480216557857,0.36528255079633887,0.19386942754787537
51,Markowitz,0.0052822178980827,40,40,0.0025658568066950216,1.4841899619987692e-07,0.4415037710118692,0.36303414319330496,0.19546208579482588
52,Markowitz,0.0052821671504239736,34,40,0.0026909165850156347,9.767133747357742e-08,0.4390712530036925,0.3682909165850156,0.1926378304112919
53,Markowitz,0.005282088421324715,40,40,0.0009668097428411626,1.894223821460178e-08,0.44194549899523433,0.36572131074760683,0.19233319025715884
54,Markowitz,0.005282267012115845,31,40,0.0036588772255042867,1.9753302934501227e-07,0.4447588772255043,0.36320935945643174,0.192031763318064
55,Markowitz,0.0052822108994551335,35,40,0.0029010423223357895,1.4142036863350887e-07,0.4381989576776642,0.36706120088553984,0.19473984143679618
56,Markowitz,0.005282122459725813,40,40,0.0018290904820484344,5.2980639313193745e-08,0.43927090951795156,0.36678798096178034,0.19394110952026802
57,Markowitz,0.0052820764030033435,40,40,0.0006579224057050026,6.923916843516731e-09,0.440442077594295,0.3661225862169007,0.19343533618880443
58,Markowitz,0.005282205760948644,23,40,0.002337216058223235,1.3628186214427462e-07,0.44039340599153515,0.36396937795024165,0.19563721605822323
59,Markowitz,0.005282084326236099,40,40,0.0011110401452118501,1.4847149599171716e-08,0.44061911801264503,0.36671104014521183,0.19266984184214264
60,Markowitz,0.00528222277772703,40,40,0.0024475209312588286,1.5329864052997244e-07,0.44062572417112117,0.3636267548976193,0.19574752093125883
61,Markowitz,0.005282084594497147,40,40,0.0011286756779843587,1.511541064709576e-08,0.44057580195749946,0.36672867567798434,0.1926955223645155
62,Markowitz,0.005282120434486262,37,40,0.0018779138177095756,5.0955399761611064e-08,0.44297791381770957,0.36445586782948297,0.1925662183528075
63,Markowitz,0.005282319895144277,29,40,0.003840545022711195,2.504160577770226e-07,0.4449405450227112,0.36188061458607357,0.19317884039121483
64,Markowitz,0.005282380207512476,40,40,0.0046262830173322,3.107284259756815e-07,0.4391278458464332,0.3702262830173322,0.19064587113623446
65,Markowitz,0.005282073508384409,40,40,0.0005078420360942193,4.029297909213803e-09,0.4416078420360942,0.36554977972708336,0.19284237823682282
66,Markowitz,0.005282087020595952,32,40,0.00098932075786215,1.7541509451587944e-08,0.4412625709957485,0.3664267497621138,0.19231067924213785
67,Markowitz,0.005282401018968716,24,40,0.0037400363301961503,3.315398822163057e-07,0.4414709455580029,0.36185996366980383,0.1966690907721933
68,Markowitz,0.005282168620691852,32,40,0.0027281230703017356,9.914160535237637e-08,0.43972143728896046,0.3683281230703017,0.1919504396407377
69,Markowitz,0.005282077438959746,40,40,0.0004807573543554322,7.959873245776128e-09,0.4411328278274646,0.36511924264564455,0.19374792952689077
70,Markowitz,0.005282188671874134,37,40,0.0028330733287997845,1.191927876337609e-07,0.4428520581319455,0.3627669266712002,0.19438101519685386
71,Markowitz,0.005290466317999308,19,40,0.02241824084785099,8.396838912808069e-06,0.418681759152149,0.37584016852686014,0.2054780723209908
72,Markowitz,0.0052821735092643315,40,40,0.0025865801816586376,1.040301778314906e-07,0.4432926793388342,0.36301341981834134,0.1936939008428244
