,problem,f_val_opt,f_evals,comp_budget,success_crit_x,success_crit_f,6,7,8
12,Markowitz,0.005302698489767495,6,20,0.03712602009966065,2.062901068099459e-05,0.4245545362869078,0.40272602009966063,0.17271944361343153
13,Markowitz,0.005290146380927927,6,20,0.02212058655266308,8.076901841427148e-06,0.46322058655266307,0.3447868157378618,0.19199259770947516
14,Markowitz,0.0052841538551035416,6,20,0.011877768122862176,2.0843760170415754e-06,0.4311279749044911,0.37747776812286216,0.1913942569726466
15,Markowitz,0.005300893701562177,6,20,0.036341391795910616,1.8824222475677388e-05,0.4131129609797201,0.4019413917959106,0.18494564722436932
16,Markowitz,0.005301776155945426,6,20,0.03528172269273405,1.970667685892609e-05,0.47638172269273404,0.3346026767394263,0.18901560056783964
17,Markowitz,0.005282073124407795,6,20,0.0005958628310264724,3.645321294820647e-09,0.4406841743148223,0.36619586283102645,0.1931199628541511
18,Markowitz,0.005283607627249268,6,20,0.009673191781977286,1.5381481627682256e-06,0.4502548882024881,0.3559268082180227,0.19381830357948926
19,Markowitz,0.005282234638616277,6,20,0.003382516672194913,1.6515952977729648e-07,0.43826678385369516,0.3689825166721949,0.19275069947410986
20,Markowitz,0.005308007603961531,6,20,0.04320143814249727,2.5938124875030978e-05,0.4112650980849326,0.40880143814249725,0.17993346377257022
21,Markowitz,0.005282069144136257,10,20,0.00012155246648959395,3.3495024288898723e-10,0.4411334474691877,0.36568810499730187,0.1931784475335104
22,Markowitz,0.005288035317337346,6,20,0.0198232095975423,5.965838250845609e-06,0.4609232095975423,0.3500672456645852,0.18900954473787251
23,Markowitz,0.005302031810140679,6,20,0.03528215136246282,1.9962331054178967e-05,0.4763821513624628,0.33385539160457606,0.18976245703296113
24,Markowitz,0.0052865925073693285,6,20,0.016717694228991664,4.523028282828537e-06,0.45781769422899166,0.35033477652598416,0.1918475292450242
25,Markowitz,0.005289262308982466,6,20,0.022687015797762056,7.192829895965799e-06,0.4246206291395819,0.38828701579776204,0.18709235506265615
26,Markowitz,0.005301683464636987,6,20,0.03764753381422686,1.961398555048663e-05,0.41672409498710766,0.40324753381422684,0.18002837119866547
27,Markowitz,0.005297196952101253,6,20,0.032787572639894014,1.512747301475343e-05,0.41681159233794424,0.398387572639894,0.18480083502216185
28,Markowitz,0.005282452666339559,6,20,0.004776152294328151,3.8318725305904605e-07,0.4456981035224923,0.36082384770567183,0.1934780487718359
29,Markowitz,0.005282069144135768,10,20,0.00012147236824941454,3.3495073208100745e-10,0.4411335321413694,0.36568794022688006,0.19317852763175059
30,Markowitz,0.005282169703170951,6,20,0.002243844214347923,1.002240844509214e-07,0.4421822764548439,0.36676156775950397,0.19105615578565208
31,Markowitz,0.005286741975880598,6,20,0.01703213907912654,4.672496794097883e-06,0.45813213907912653,0.3501672843885547,0.19170057653231873
32,Markowitz,0.005283447503123276,6,20,0.008282734893814814,1.3780240367758378e-06,0.4427547651294938,0.35731726510618517,0.19992796976432095
33,Markowitz,0.005282069144135695,10,20,0.00012145797744186893,3.3495080493939344e-10,0.4411335155208115,0.36568794245663044,0.19317854202255813
34,Markowitz,0.005285293805346622,6,20,0.013913127682057158,3.2243262601218056e-06,0.45501312768205715,0.35235666911727037,0.19263020320067245
