,problem,f_val_opt,f_evals,comp_budget,success_crit_x,success_crit_f,6,7,8,9,10,11,12,13,14,15
0,Griewank Function,1.000000000000079,500,500,4.991579862888184e-07,7.904787935331115e-14,1.6692717152731812e-07,-2.0654426464099282e-08,-4.991579862888184e-07,-9.261844843467155e-08,1.791865938969362e-07,1.4282080146303847e-07,-3.274866391108084e-07,-3.395665465594339e-07,-1.789326830668713e-08,-3.2940288911614724e-08
1,Griewank Function,1.0000000000001708,500,500,1.1564776339620028e-06,1.7075230118734908e-13,-3.244334665818251e-08,1.1096274732732386e-07,4.47074361516894e-07,3.924880709894511e-07,2.9632772873839692e-08,3.1881114593931243e-07,-1.1564776339620028e-06,-1.3022876911948872e-07,4.469603561025657e-08,6.822754269870308e-08
2,Griewank Function,1.0000000000025773,500,500,3.6652444686223736e-06,2.5772717293648384e-12,6.303859744452125e-07,-5.700020906635171e-07,7.530460050560638e-07,-1.1790523590012807e-06,-3.6652444686223736e-06,-9.218466720140592e-08,-1.6215222419834105e-07,2.8218217700052023e-06,-1.0070958504806675e-06,-2.4741420836204743e-07
3,Griewank Function,1.0000000000000386,500,500,4.473585619457852e-07,3.863576125695545e-14,-1.5654546164651172e-07,-1.3541464299699124e-08,3.198767748419813e-08,2.53417962738979e-07,8.770441165667796e-08,-2.824249647853814e-10,2.0638073568841601e-07,2.0278337025237356e-08,2.1716646436109667e-07,4.473585619457852e-07
4,Griewank Function,1.0000000000005511,500,500,1.3944089718518017e-06,5.511147094239277e-13,-1.358207942218334e-07,4.247438193275099e-07,-1.074500629356357e-06,-6.471636230294896e-08,-8.794620854135801e-07,-6.367987994705448e-07,1.9154415381451004e-07,-1.3944089718518017e-06,-7.973514540117926e-07,3.654628679274036e-07
5,Griewank Function,1.0000000000000528,500,500,4.500112221225577e-07,5.284661597215745e-14,1.0401125595975658e-07,2.2704716049606535e-07,1.9986147984989003e-07,-1.926073685403002e-07,5.3353044449424884e-08,-2.783497862588802e-07,5.1992544041635026e-08,-1.9888094496509264e-07,4.500112221225577e-07,-7.379881955517717e-08
6,Griewank Function,1.0000000000001659,500,500,7.556289829614126e-07,1.6586731987899839e-13,-3.6114100335936047e-08,-1.776171690225522e-07,5.809944485930203e-07,-1.4383769973671126e-07,-3.037334295091005e-07,5.622876558440083e-07,5.725453178706247e-07,1.328268341149939e-07,-1.4825824464061723e-07,-7.556289829614126e-07
7,Griewank Function,1.0000000000000262,500,500,1.7757676335287143e-07,2.6201263381153694e-14,1.6294070222968358e-07,1.3921131657471005e-07,1.2900831931757134e-07,-3.460298221996479e-08,-1.0524493067342499e-07,-8.310465073278644e-08,-2.1959662060263917e-08,8.153349089436057e-08,-1.2521312517496413e-07,-1.7757676335287143e-07
8,Griewank Function,1.0000000000000593,500,500,4.3077084170704907e-07,5.928590951498336e-14,-1.6649610608092624e-07,-2.866069038855186e-08,1.7604169933533706e-07,-2.848559596977288e-07,-1.6835875932548835e-07,-9.773629908938463e-08,-2.202904921775497e-07,-3.612722126317587e-07,-4.3077084170704907e-07,-1.7113529079575563e-07
9,Griewank Function,1.00000000000004,500,500,6.486734673127571e-07,3.9968028886505635e-14,2.699544161137618e-08,-2.766548357358654e-08,8.207363810866428e-08,1.176996959289171e-08,-1.1634528463363127e-07,1.2706559615311952e-07,-9.892015055209126e-08,1.9426282765367145e-07,-6.486734673127571e-07,3.4530628479649254e-07
