,problem,f_val_opt,f_evals,comp_budget,success_crit_x,success_crit_f,6,7,8,9,10,11,12,13,14,15
0,Griewank Function,12.39614283645592,500,500,23.88553010231159,11.39614283645592,-21.81190994156925,8.77214132917029,16.287359905370323,5.820762442608432,20.442646374647083,0.0304989843282452,23.88553010231159,8.373556972894875,18.184028233674066,-0.20614525572461573
1,Griewank Function,1.000000000838274,500,500,6.394019590421539e-05,8.382738947432244e-10,-1.4683023971938026e-05,1.4748423995334793e-05,1.870400084375244e-05,-5.452128799477678e-06,-4.6598502751515146e-05,2.7034605755568443e-05,6.394019590421539e-05,-2.461396351384894e-06,2.415057362981142e-06,-8.765112229031142e-06
2,Griewank Function,1.0000000015997244,500,500,9.185060339910402e-05,1.5997243529852767e-09,-1.143211716926982e-06,2.5986240394104828e-05,-1.4861208600716628e-05,4.210619940999865e-05,1.6330341223692627e-05,9.185060339910402e-05,3.786909747027705e-07,5.250372085017005e-05,1.3756232371230258e-05,5.84185902309031e-05
3,Griewank Function,1.2404813882204868,500,500,5.282390698365392,0.2404813882204868,3.1627737410209217e-06,4.3553701833610425,5.282390698365392,2.9491029060572355e-05,3.3264250338008405e-05,3.12796108223658e-05,3.098956289370273e-05,-2.14946153368048e-05,-3.936194773181529e-06,8.355868669065699e-06
4,Griewank Function,1.000000000529219,500,500,3.180076373967377e-05,5.292188909322704e-10,-1.2351986938304116e-05,1.8437721835087603e-05,2.097578251569664e-05,3.180076373967377e-05,2.4715946485567638e-05,4.1265462887178e-06,2.724605125439106e-05,1.5773466549157393e-05,2.9479504998299962e-06,-1.847939363557605e-05
5,Griewank Function,1.0000000000011355,500,500,2.388300821219664e-06,1.1355361095866101e-12,-2.310713355062015e-08,1.187666861026614e-06,-4.5284472228116237e-07,-9.498092552154178e-07,-2.924937168327109e-07,-1.6534812213464732e-06,-2.0100242933174435e-07,-4.775801741226518e-07,-2.388300821219664e-06,-4.0247427609299017e-07
6,Griewank Function,1.0000000181599524,500,500,0.00015361912372157467,1.815995243070745e-08,0.00013622835992725208,6.084091868986826e-05,-6.779933198744974e-05,-0.00015361912372157467,1.9555656824926193e-06,1.1814209163105055e-05,-0.00011453725336510226,0.0001521070910203743,4.454888265904036e-05,-0.000153144702197423
7,Griewank Function,1.0000006472731386,500,500,0.0011680310774186198,6.472731386431008e-07,-1.633616897787652e-05,0.0011680310774186198,-0.0005651355934447862,9.845413429546115e-05,-0.0009379800715326415,-0.00025216874803731144,-0.00081398221541726,0.0006258650217046022,0.001059782640852761,-3.5121158620426e-05
8,Griewank Function,1.0000000086470235,500,500,0.00016739322279741913,8.647023541641374e-09,2.8577766007193596e-05,-1.5568623285453354e-05,-0.00013444688424750934,3.319606917951415e-05,8.312802049503198e-05,-0.00016739322279741913,-8.703782187607207e-05,-5.787057825161738e-05,-3.5412016412436486e-05,0.0001239342058061992
9,Griewank Function,1.000000000128305,500,500,2.5144971350383417e-05,1.2830492224225054e-10,4.857636277529477e-06,-1.7323838405840372e-06,4.371730565221667e-06,1.4664640595283267e-05,-8.331364639230115e-06,1.5106090694197863e-05,-1.515528490417087e-05,-2.723777913991037e-06,2.5144971350383417e-05,-3.2964857184467194e-06
10,Griewank Function,1.0000000498132,500,500,0.0003607854862013848,4.9813200009296565e-08,-5.7638007323994173e-05,-9.98789366071071e-05,1.9872193149158873e-05,0.00029992722227748295,-0.0003054926907443002,0.0003607854862013848,0.0002807133272266537,-0.0002455161580068478,-0.00012332164685784606,0.0001662455234975161
11,Griewank Function,1.0000000000065343,500,500,6.512938488495324e-06,6.534328633733821e-12,-8.521809150110171e-07,3.011548069306975e-07,-2.540382031407072e-06,1.3074775336579603e-06,-9.59195047654999e-07,-2.8441530990078368e-06,-4.642446212611966e-07,6.512938488495324e-06,4.117286118780769e-06,-1.3258332365149083e-06
