,problem,f_val_opt,f_evals,comp_budget,success_crit_x,success_crit_f,6,7
0,Easom,-1.0,500,500,6.826728071729349e-09,0.0,3.141592660416521,3.14159265372383
1,Easom,-1.0,500,500,5.076959741501241e-09,0.0,3.1415926536756977,3.1415926485128334
2,Easom,-1.0,500,500,3.5157095013005346e-09,0.0,3.1415926571055026,3.1415926554244504
3,Easom,-8.110223891570071e-05,500,500,1.8365972003903945,0.9999188977610843,1.3049954531993986,4.9781898534097095
4,Easom,-1.0,500,500,3.531672732037805e-09,0.0,3.1415926543468715,3.141592657121466
5,Easom,-1.0,500,500,3.2413760564509175e-09,0.0,3.141592656831169,3.141592654070044
6,Easom,-1.0,500,500,5.6460631725485655e-09,0.0,3.1415926525112035,3.1415926592358563
7,Easom,-8.743100451953812e-12,500,500,4.815842319469493,0.9999999999912569,3.1415926654243123,7.957434973059286
8,Easom,-1.0,500,500,4.705839717900062e-09,0.0,3.141592658295633,3.1415926491541475
9,Easom,-1.0,500,500,3.6955496440782554e-09,0.0,3.1415926498942435,3.1415926502355314
10,Easom,-1.0,500,500,3.917872692937863e-09,0.0,3.1415926496719204,3.141592650005629
11,Easom,-1.0,500,500,5.580324646814461e-09,0.0,3.1415926503342595,3.1415926480094685
12,Easom,-1.0,500,500,3.4099136847487443e-09,0.0,3.1415926501798794,3.141592652887662
13,Easom,-8.743100451953814e-12,500,500,4.815842315688581,0.9999999999912569,3.1415926634014735,7.957434969278374
14,Easom,-1.0,500,500,6.3091403212922614e-09,0.0,3.141592647280653,3.1415926511902734
15,Easom,-8.110223891570064e-05,500,500,1.83659720390742,0.9999188977610843,4.978189857497213,4.978189854526773
16,Easom,-8.743100451953868e-12,500,500,4.815842319428787,0.9999999999912569,3.1415926314768874,-1.6742496658389947
17,Easom,-1.0,500,500,4.440523504456451e-09,0.0,3.1415926578079034,3.1415926580303166
18,Easom,-1.0,500,500,3.751414734409764e-09,0.0,3.1415926498383784,3.1415926528678915
19,Easom,-1.0,500,500,5.224439991735608e-09,0.0,3.1415926512755465,3.141592648365353
20,Easom,-1.0,500,500,3.263876280357181e-09,0.0,3.141592650325917,3.1415926564587355
21,Easom,-1.0,500,500,5.512317713396442e-09,0.0,3.1415926559971483,3.1415926480774754
22,Easom,-1.0,500,500,6.726947443524978e-09,0.0,3.1415926468628457,3.141592655323823
23,Easom,-1.0,500,500,1.8957218017590094e-09,0.0,3.1415926530972067,3.141592655485515
24,Easom,-1.0,500,500,3.5495131278651115e-09,0.0,3.1415926514075982,3.14159265004028
25,Easom,-1.0,500,500,3.1933300448372393e-09,0.0,3.141592650396463,3.1415926504950633
26,Easom,-8.743100451953857e-12,500,500,4.815842322745658,0.9999999999912569,3.1415926414301536,-1.674249669155865
27,Easom,-7.644180551295597e-23,500,500,4.815842319153711,1.0,-1.6742496655639187,-1.6742496614558111
28,Easom,-8.110223891570067e-05,500,500,1.8365972052315467,0.9999188977610843,4.97818985882134,4.978189857401816
29,Easom,-1.0,500,500,4.239486095514167e-09,0.0,3.1415926566797543,3.141592657829279
